matching_keywords,matching_locations,buyer_name,buyer_title,buyer_summary,buyer_long_description,buyer_location,buyer_industry,buyer_contact,seller_id,seller_title,seller_summary,seller_long_description,seller_location,seller_industry,seller_contact
Gesundheitstechnik,bayern,Unternehmen gesucht - Betriebswirt / Vertriebsleiter sucht,Erfahrener Bauprofi sucht etabliertes Bauunternehmen oder Planungsbüro,Engagierter Profi mit 23 Jahren Erfahrung sucht ein solides Bauunternehmen oder Planungsbüro zur Unternehmensnachfolge und Übernahme.,"
Ich bin ein erfahrener Kaufmann (43 Jahre) mit umfassender Expertise im SF GU/GÜ Bauwesen/Projektentwicklung/Immobilien und Finanzen.
Mein beruflicher Werdegang umfasst:
-10 Jahre Bankwesen
-13 Jahre SF GU/GÜ Bauwesen/Projektentwicklung/Immobilien als
Leiter Einkauf, Stellvertretender Niederlassungsleiter, Leiter Immobilien, Leiter Finanzen, Kaufmännischer Leiter und Generalbevollmächtigter, CFO und GF
und habe einen Bilanzbuchhalter und Bilanzbuchhaltung International Abschluss

Ich bin auf der Suche nach einem etablierten Bauunternehmen oder Planungsbüro zur Übernahme, das folgende Kriterien erfüllt:
Tätigkeitsbereich: Hoch- und Tiefbau, Schlüsselfertiges Bauen, oder Architektur- und Ingenieurdienstleistungen
Unternehmensgröße: min 10-50 Mitarbeiter
Umsatz: min 2,5 Mio. € jährlich
Standort: Vorzugsweise Berlin, aber auch andere Regionen werden in Betracht gezogen
Gesunde finanzielle Basis und stabiler Kundenstamm
Potenzial für Wachstum und Modernisierung

Meine Stärken
Fundiertes kaufmännisches und gutes technisches Know-how im gesamten Bauprozess
Ausgeprägte Führungsqualitäten und Erfahrung im Personalmanagement
Starke betriebswirtschaftliche Kompetenz
Innovatives Mindset für die Digitalisierung der Baubranche
Solide finanzielle Basis für eine reibungslose Übernahm

Was ich biete
Finanzielle Stabilität: gesicherte Übernahme
Fachliche Kompetenz: Umfassendes Know-how in allen Bereichen des Bauwesens
Führungsstärke: Bewährte Fähigkeiten in der Mitarbeiterführung und -motivation
Innovationskraft: Ideen und Strategien zur Zukunftssicherung des Unternehmens
Kontinuität: Langfristiges Engagement und Weiterführung des Lebenswerks

Wenn Sie ein etabliertes Bauunternehmen oder Planungsbüro besitzen und eine verantwortungsvolle Nachfolgelösung suchen, würde ich mich freuen, mit Ihnen in Kontakt zu treten. Ich bin überzeugt, dass meine Erfahrung, mein Engagement und meine Vision die ideale Basis für eine erfolgreiche Fortführung Ihres Lebenswerks bieten.
Lassen Sie uns gemeinsam die Zukunft Ihres Unternehmens gestalten. Ich freue mich auf ein persönliches Gespräch.",Berlin,,,Unknown,"Tiefbaufirma (Pflasterarbeiten, Straßenbau)",Berlin-Brandenburg Tiefbaufirma zum Verkauf 30 Mitarbeiter/innen mit einem großen diversen Maschinenpark Voraussichtlich ab Januar 2025 zur Übergabe bereit,"
Berlin-Brandenburger Tiefbauunternehmen, dass seit über 20 Jahren auf dem Markt ist und soll ab Januar 2025 aus Altersgründen abgegeben werde. Im Besitz der Firma befinden sich ein Selbstlader, ein 7-Tonner, diverse Bagger und Radlader, 15 Transporter und alles nötige an Klein- und Großwerkzeug. Zurzeit arbeiten ca. 30 Mitarbeiter/innen direkt für die Firma und ca. 20 in Subaufträgen.
Große öffentliche Auftragslage z.B. Kitas, Schulen oder Wohnungsbaugesellschaften. Die Firma besitzt seit zwei Jahrzehnten große Winterdienstverträge. Der Jahresumsatz beläuft sich auf ca. 4-5 Millionen Euro.
Zu verkaufen wäre das Unternehmen an grundsätzlich jeden (Privat oder Investoren).",Berlin / Berlin / Berlin,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=209581
Gesundheitstechnik,bayern,Unternehmen gesucht - Betriebswirt / Vertriebsleiter sucht,Die Ambrock GmbH sucht Malerbetriebe zur Übernahme,"Die Ambrock GmbH mit Hauptsitz in Hagen und 10 weiteren Standorten und über 400 Mitarbeitern ist stetig am wachsen und sucht in Düsseldorf, Mannheim und Stuttgart Möglichkeiten zur Expansion.","
Wer wir sind? Ein mittelständisches Malerunternehmen an insgesamt elf Standortenin Deutschland und über 400 Mitarbeitern. Kerngeschäfte sind Malerarbeiten, Korrosionsschutz, Beschichtung, Wärmedämmung, Betoninstandsetzung undIndustrieböden. Erfahrung in Übernahme von Malerbetrieben ist vorhanden.
Was suchen wir? Einen klassischen Malerbetrieb (2 bis 10 Angestellte) mit einembestehenden und zukunftsorientierten Kundenstamm. Wir sind ebenfalls bereit, diebestehende Infrastruktur (Halle, Büroflächen, Fuhrpark, Maschinen etc. ) vor Ort zu übernehmen.",Nordrhein-Westfalen / Düsseldorf / Düsseldorf Baden-Württemberg / Stuttgart / Stuttgart,,,Unknown,Malerbetrieb in Mönchengladbach zu verkaufen,Malerbetrieb in Mönchengladbach aus Altersgründen zu verkaufen.,"
Malerbetrieb in Mönchengladbach aus Altersgründen zu verkaufen.
Das Unternehmen ist seit über 30 Jahren erfolgreich am Markt, Schwerpunkt sind Maler- und Bodenbelagsarbeiten bei solventen Privatkunden.

Derzeit werden 3 qualifizierte und motivierte Mitarbeiter beschäftigt.

Eine Lagerhalle mit Werkstattbereich (ca. 250 qm) kann vom Vorgänger angemietet werden.
Eine branchenübliche Betriebs- und Geschäftsausstattung inklusive 3 Fahrzeugen sowie umfangreichem Warenbestand soll übergeben werden.

Eine sorgfältige Einarbeitung wird gewährleistet.",Nordrhein-Westfalen / Düsseldorf / Mönchengladbach,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=212254
Gesundheitstechnik,bayern,Unternehmen gesucht - Betriebswirt / Vertriebsleiter sucht,Die Ambrock GmbH sucht Malerbetriebe zur Übernahme,"Die Ambrock GmbH mit Hauptsitz in Hagen und 10 weiteren Standorten und über 400 Mitarbeitern ist stetig am wachsen und sucht in Düsseldorf, Mannheim und Stuttgart Möglichkeiten zur Expansion.","
Wer wir sind? Ein mittelständisches Malerunternehmen an insgesamt elf Standortenin Deutschland und über 400 Mitarbeitern. Kerngeschäfte sind Malerarbeiten, Korrosionsschutz, Beschichtung, Wärmedämmung, Betoninstandsetzung undIndustrieböden. Erfahrung in Übernahme von Malerbetrieben ist vorhanden.
Was suchen wir? Einen klassischen Malerbetrieb (2 bis 10 Angestellte) mit einembestehenden und zukunftsorientierten Kundenstamm. Wir sind ebenfalls bereit, diebestehende Infrastruktur (Halle, Büroflächen, Fuhrpark, Maschinen etc. ) vor Ort zu übernehmen.",Nordrhein-Westfalen / Düsseldorf / Düsseldorf Baden-Württemberg / Stuttgart / Stuttgart,,,Unknown,Traditionsreicher Malerbetrieb im Herzen des Ruhrgebietes zu veräußern,Übernehmen Sie einen bestens etablierten Malerbetrieb im Ruhrgebiet und profitieren Sie von einer nahtlosen Weiterführung in einem lukrativen Marktsegment!,"
Zum Verkauf steht ein seit vielen Jahren erfolgreicher und traditionsreicher Malerbetrieb im Herzen des Ruhrgebietes. Das Unternehmen genießt einen hervorragenden Ruf und verfügt über einen stabilen, treuen Kundenstamm, der sowohl private als auch gewerbliche Auftraggeber umfasst. Der Betrieb bietet ein breites Leistungsspektrum im Bereich der Maler- und Lackierarbeiten an und hat sich durch seine Zuverlässigkeit und Qualität fest im regionalen Markt etabliert.

Mitarbeiter: Der Betrieb beschäftigt aktuell 10 festangestellte Mitarbeiter, darunter erfahrene Fachkräfte sowie Auszubildende. Eine Bürokraft sorgt zusätzlich für die professionelle Abwicklung aller organisatorischen und administrativen Aufgaben, was einen reibungslosen Betriebsablauf sicherstellt.

Betriebsräume und Mietkonditionen: Die Betriebsräumlichkeiten sind hinsichtlich ihrer Verkehrsanbindung hervorragend gelegen und bieten ausreichend Platz für die Lagerung von Materialien sowie für Büroarbeiten. Die Räumlichkeiten sind angemietet, jedoch bestehen dank selbst durchgeführter Umbauarbeiten äußerst günstige Mietkonditionen, was die laufenden Betriebskosten niedrig hält.

Anlagevermögen und Fahrzeuge: Zum Verkauf steht das gesamte betriebliche Anlagevermögen, das alle benötigten Maschinen, Werkzeuge und Betriebsausstattungen umfasst. Ebenso gehört ein gut gepflegter Fuhrpark mit mehreren Firmenfahrzeugen zum Angebot. Der Betrieb ist somit bestens ausgestattet und kann vom neuen Eigentümer sofort und ohne größere Zusatzinvestitionen weitergeführt werden.

Übergabe und Unterstützung: Der Inhaber bietet einen gleitenden Übergang an, um den neuen Eigentümer mit dem Betrieb vertraut zu machen. Dabei steht er nicht nur fachlich, sondern auch kaufmännisch beratend zur Seite, um die Einarbeitung zu erleichtern. Dieses Angebot stellt sicher, dass der Betriebsübergang möglichst reibungslos und ohne Unterbrechung des Geschäftsbetriebs erfolgt. Darüber hinaus wird eine weiterführende Beratung durch die zuständige Handwerkskammer Düsseldorf angeboten, die den neuen Eigentümer in betriebswirtschaftlichen Fragen unterstützt.

Besonderheiten: Dank des eingespielten Teams, der günstigen Mietkonditionen und des treuen Kundenstamms bietet dieses Unternehmen eine solide Basis für eine erfolgreiche Fortführung und Expansion. Die langjährige Markterfahrung und der Ruf des Betriebs im Ruhrgebiet bieten eine hervorragende Grundlage für zukünftiges Wachstum.

Bei ernsthaftem Interesse freuen wir uns über Ihre Kontaktaufnahme und stehen für weitere Informationen gerne zur Verfügung.",Nordrhein-Westfalen / Düsseldorf / Duisburg,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=212252
Hausverwaltung,baden-württemberg,WEG-Verwaltung/ Hausverwaltung zur Übernahme gesucht (Kreis Esslingen+Göppingen),Die Ambrock GmbH sucht Malerbetriebe zur Übernahme,"Die Ambrock GmbH mit Hauptsitz in Hagen und 10 weiteren Standorten und über 400 Mitarbeitern ist stetig am wachsen und sucht in Düsseldorf, Mannheim und Stuttgart Möglichkeiten zur Expansion.","
Wer wir sind? Ein mittelständisches Malerunternehmen an insgesamt elf Standortenin Deutschland und über 400 Mitarbeitern. Kerngeschäfte sind Malerarbeiten, Korrosionsschutz, Beschichtung, Wärmedämmung, Betoninstandsetzung undIndustrieböden. Erfahrung in Übernahme von Malerbetrieben ist vorhanden.
Was suchen wir? Einen klassischen Malerbetrieb (2 bis 10 Angestellte) mit einembestehenden und zukunftsorientierten Kundenstamm. Wir sind ebenfalls bereit, diebestehende Infrastruktur (Halle, Büroflächen, Fuhrpark, Maschinen etc. ) vor Ort zu übernehmen.",Nordrhein-Westfalen / Düsseldorf / Düsseldorf Baden-Württemberg / Stuttgart / Stuttgart,,,Unknown,Maler im Landkreis Heidenheim sucht Nachfolger (w/m/d),- ca. 4 Mitarbeitende - Umsatz ca. 250.000 € pro Jahr,"
- ca. 4 Mitarbeitende
- Immobilie gemietet
- Umsatz ca. 250.000 € pro Jahr

Die Angaben stammen vom Eigentümer. Weitere Angaben erhalten Sie auf Nachfrage. Dazu leiten wir Ihre Anfrage direkt an den Eigentümer weiter.

Diese Dienstleistung der Handwerkskammer Ulm ist für Sie kostenlos. Dieses und weitere Inserate finden Sie in unserer Betriebsbörse unter: https://www.hwk-ulm.de/betriebsboerse-angebote/betriebsangebot-07-04-2022-0645/",Baden-Württemberg / Stuttgart / Heidenheim,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=210394
Hausverwaltung,baden-württemberg,WEG-Verwaltung/ Hausverwaltung zur Übernahme gesucht (Kreis Esslingen+Göppingen),Die Ambrock GmbH sucht Malerbetriebe zur Übernahme,"Die Ambrock GmbH mit Hauptsitz in Hagen und 10 weiteren Standorten und über 400 Mitarbeitern ist stetig am wachsen und sucht in Düsseldorf, Mannheim und Stuttgart Möglichkeiten zur Expansion.","
Wer wir sind? Ein mittelständisches Malerunternehmen an insgesamt elf Standortenin Deutschland und über 400 Mitarbeitern. Kerngeschäfte sind Malerarbeiten, Korrosionsschutz, Beschichtung, Wärmedämmung, Betoninstandsetzung undIndustrieböden. Erfahrung in Übernahme von Malerbetrieben ist vorhanden.
Was suchen wir? Einen klassischen Malerbetrieb (2 bis 10 Angestellte) mit einembestehenden und zukunftsorientierten Kundenstamm. Wir sind ebenfalls bereit, diebestehende Infrastruktur (Halle, Büroflächen, Fuhrpark, Maschinen etc. ) vor Ort zu übernehmen.",Nordrhein-Westfalen / Düsseldorf / Düsseldorf Baden-Württemberg / Stuttgart / Stuttgart,,,Unknown,Malerbtrieb aus Altersgründen zu verkaufen,"Langjähriger. gut gehender Malerbtrieb mit bekannten Namen, guten Umsätzen, eigenem Betriebsgebäude zu verkaufen.","
*Liebe Interessenten, bitte beachten Sie unseren Hinweis am Ende des Inserates!

Der Verkauf erfolgt lt. nachweislicher Wertermittlung durch Fachleute der Handwerkskammer. Das zum Betrieb gehörende Gebäude und Grundstück kann käuflich erworben werden und/oder auch gepachtet werden. Die Mitarbeiter sind langjährig im Unternehmen/Firma tätig und bewegen sich in der Altersgrenze zwischen 18 Jahren (neuer Azubi) und max. 53 Jahren. Erfahrene, langjährige Mitarbeiter stehen zusätzlich bei Bedarf als Midi-Jobber zur Verfügung. Vielseitige, unabhängige Kundschaft mit super Zahlungsmoral.

*Wichtiger Hinweis: Bitte nutzen Sie in Ihrer Interessensbekundung die entsprechenden Freifelder für die erforderlichen Informationen (Qualifikation, Berufserfahrung, Mitteilung/Motivationsbekundung an den Inhaber). Nur so ist es dem Betriebsinhaber möglich, eine erste Einschätzung Ihrer Person und Ihrer Eignung vorzunehmen und mit Ihnen in Kontakt zu treten. Wenn Sie Beratung bzgl. Betriebsübernahme wünschen, melden Sie sich gerne bei uns. (Kontaktdaten siehe rechts)",Nordrhein-Westfalen / Arnsberg / Bochum,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=209176
Bauunternehmen,berlin,Erfahrener Bauprofi sucht etabliertes Bauunternehmen oder Planungsbüro,Die Ambrock GmbH sucht Malerbetriebe zur Übernahme,"Die Ambrock GmbH mit Hauptsitz in Hagen und 10 weiteren Standorten und über 400 Mitarbeitern ist stetig am wachsen und sucht in Düsseldorf, Mannheim und Stuttgart Möglichkeiten zur Expansion.","
Wer wir sind? Ein mittelständisches Malerunternehmen an insgesamt elf Standortenin Deutschland und über 400 Mitarbeitern. Kerngeschäfte sind Malerarbeiten, Korrosionsschutz, Beschichtung, Wärmedämmung, Betoninstandsetzung undIndustrieböden. Erfahrung in Übernahme von Malerbetrieben ist vorhanden.
Was suchen wir? Einen klassischen Malerbetrieb (2 bis 10 Angestellte) mit einembestehenden und zukunftsorientierten Kundenstamm. Wir sind ebenfalls bereit, diebestehende Infrastruktur (Halle, Büroflächen, Fuhrpark, Maschinen etc. ) vor Ort zu übernehmen.",Nordrhein-Westfalen / Düsseldorf / Düsseldorf Baden-Württemberg / Stuttgart / Stuttgart,,,Unknown,Zukunftschance Handwerk - Malerbetrieb in Duisburg sucht Nachfolge,Ein etabliertes Malerunternehmen in Duisburg steht aus Altersgründen zur Übernahme bereit.,"
Ein etabliertes Malerunternehmen in Duisburg steht aus Altersgründen zur Übernahme bereit. Gegründet im Jahr 1952 und 1994 in eine GmbH umgewandelt, bietet der Betrieb ein breites Spektrum an Dienstleistungen an. Dazu gehören neben klassischen Maler- und Lackierarbeiten im Innenbereich auch Fassadensanierungen sowie Arbeiten an Wärmedämmverbundsystemen (WDVS).

Das Unternehmen wird von einem erfahrenen Meister geführt und beschäftigt ein Team aus sechs Facharbeitern sowie einem Auszubildenden. Der Kundenstamm besteht größtenteils aus Privatkunden, Wohnungsgesellschaften und kommunalen Einrichtungen. Zudem bestehen enge Kontakte zu Architekten, was eine stabile Auftragslage sichert.

Die Übernahme dieses traditionsreichen Unternehmens bietet eine hervorragende Gelegenheit, in einen florierenden Betrieb mit langjährigen Kundenbeziehungen einzusteigen und diesen erfolgreich in die Zukunft zu führen.",Nordrhein-Westfalen / Düsseldorf / Duisburg,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=207880
"Bauunternehmen, Architekturbüro",berlin,Erfahrener Bauprofi sucht etabliertes Bauunternehmen oder Planungsbüro,Die Ambrock GmbH sucht Malerbetriebe zur Übernahme,"Die Ambrock GmbH mit Hauptsitz in Hagen und 10 weiteren Standorten und über 400 Mitarbeitern ist stetig am wachsen und sucht in Düsseldorf, Mannheim und Stuttgart Möglichkeiten zur Expansion.","
Wer wir sind? Ein mittelständisches Malerunternehmen an insgesamt elf Standortenin Deutschland und über 400 Mitarbeitern. Kerngeschäfte sind Malerarbeiten, Korrosionsschutz, Beschichtung, Wärmedämmung, Betoninstandsetzung undIndustrieböden. Erfahrung in Übernahme von Malerbetrieben ist vorhanden.
Was suchen wir? Einen klassischen Malerbetrieb (2 bis 10 Angestellte) mit einembestehenden und zukunftsorientierten Kundenstamm. Wir sind ebenfalls bereit, diebestehende Infrastruktur (Halle, Büroflächen, Fuhrpark, Maschinen etc. ) vor Ort zu übernehmen.",Nordrhein-Westfalen / Düsseldorf / Düsseldorf Baden-Württemberg / Stuttgart / Stuttgart,,,Unknown,Malerbetrieb im Kreis Mettmann sucht Nachfolger (m/w/d),Malerbetrieb im Kreis Mettmann sucht Nachfolger (m/w/d). Im Kreis Mettmann sucht ein alteingesessener Malerbetrieb aus Altersgründen einen Nachfolger (m/w/d).,"
Im Kreis Mettmann sucht ein alteingesessener Malerbetrieb aus Altersgründen einen Nachfolger (m/w/d).
Der Betrieb wurde 1982 gegründet und 2005 in eine GmbH umgewandelt.
Zum Leistungsspektrum gehören neben den klassischen Maler- und Lackierarbeiten, Trockenbau und Fußbodenbeläge.
Der Kundenstammt besteht zu 75 % aus Privatkunden und zu 25 % aus gewerblichen Auftraggebern (u. a. Hausverwaltungen) und ist im Umkreis von 30 km (Düsseldorf - Essen) tätig.
Neben dem Geschäftsführer sind 2 Gesellen in Vollzeit, sowie regelmäßig 1-2 Leiharbeitnehmer beschäftigt. Eine gesunde Altersstruktur ist bei den Beschäftigen vorhanden.
Es ist 1 Lagerhallen (100 qm) für 210 Euro / Monat angemietet.
Neben den üblichen Maschinen und Werkzeugen besteht der Fuhrpark aus 2 Ford Connect und einem TRAFIC.
Gute Verkehrsanbindung an A 3 und A 44.
Einarbeitung und eventuelle Mitarbeit des Übergebers wird auf Wunsch für 1 1/2 bis 2 Jahre angeboten.
Der Kaufpreis ist Verhandlungssache.",Nordrhein-Westfalen / Düsseldorf / Mettmann,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=206999
Architekturbüro,berlin,Erfahrener Bauprofi sucht etabliertes Bauunternehmen oder Planungsbüro,Die Ambrock GmbH sucht Malerbetriebe zur Übernahme,"Die Ambrock GmbH mit Hauptsitz in Hagen und 10 weiteren Standorten und über 400 Mitarbeitern ist stetig am wachsen und sucht in Düsseldorf, Mannheim und Stuttgart Möglichkeiten zur Expansion.","
Wer wir sind? Ein mittelständisches Malerunternehmen an insgesamt elf Standortenin Deutschland und über 400 Mitarbeitern. Kerngeschäfte sind Malerarbeiten, Korrosionsschutz, Beschichtung, Wärmedämmung, Betoninstandsetzung undIndustrieböden. Erfahrung in Übernahme von Malerbetrieben ist vorhanden.
Was suchen wir? Einen klassischen Malerbetrieb (2 bis 10 Angestellte) mit einembestehenden und zukunftsorientierten Kundenstamm. Wir sind ebenfalls bereit, diebestehende Infrastruktur (Halle, Büroflächen, Fuhrpark, Maschinen etc. ) vor Ort zu übernehmen.",Nordrhein-Westfalen / Düsseldorf / Düsseldorf Baden-Württemberg / Stuttgart / Stuttgart,,,Unknown,Seit 80 Jahren auf den Markt Malerbetrieb fast zu verschenken,Kleiner Malerbetrieb mit 5 Gesellen Standort Mettmann Betriebsräume incl. Büro 120 m² 4 Fahrzeuge,"
Umsätze 2022 780 TS
Privat und Geschäftskunden",Nordrhein-Westfalen / Düsseldorf / Mettmann,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=206777
Bauunternehmen,berlin,Erfahrener Bauprofi sucht etabliertes Bauunternehmen oder Planungsbüro,Kauf eines Unternehmens im Bereich Elektrotechnik,Dipl.-Ing. Elektrotechnik (RWTH Aachen) mit 20 Jahren Erfahrung im technischen Vertrieb eines globalen Elektrokonzerns sucht Unternehmen im Bereich Elektrotechnik zur Übernahme.,"
Ausbildung
• Diplom Ingenieur Elektrotechnik von der RWTH Aachen – einer der renommiertesten Hochschulen Deutschlands.

Berufserfahrung
• Technischer Vertrieb: Fast 20 Jahre Erfahrung in einem weltweit tätigen Elektrokonzern, mit stetig wachsender Verantwortung.
• Vertriebs- und Marketingstrategie: Langjährige strategische Verantwortung für Kundenansprache und kundenspezifische Lösungsentwicklung.
• Führungsrolle: Leitung von Key Account Teams mit internationaler und lokaler Kundenbetreuung.
• Netzwerk: Umfangreiches internationales und lokales Kundennetzwerk in der Elektrobranche.
• Projektmanagement: Verantwortung für Projekte im hohen siebenstelligen Umsatzbereich und Gesamtverantwortung für einen Umsatz von circa 50 Millionen Euro.
• Marketing & Business Development: Diverse Tätigkeiten, inklusive Training und Entwicklung von Vertriebsstrategien.
• Fachkräfte-Netzwerk: Breites Netzwerk an Fachkräften im Bereich der Elektroingenieure, auch aus eigenen Unternehmen.

Kompetenzprofil
• Elektrische Automation: Umfangreiche Kenntnisse und praktische Erfahrung.
• Teamarbeit & Führung: Erfahren, zuverlässig, verantwortungsbewusst mit kooperativem Führungsstil.
• Kundenorientierung: Starke soziale Kompetenzen und ausgeprägtes kundenorientiertes Denken und Handeln.
• Stressresistenz: Fähigkeit, auch in Stresssituationen Ruhe zu bewahren.
• B2B Vertrieb & Marketing: Umfassende Erfahrung und Erfolg im B2B Bereich.
• Preisstrategien & Analysen: Ausgeprägte Kompetenz in Preisstrategien und betriebswirtschaftlichen Analysen.
• Qualitätssicherung

Privates Engagement
• Ehrenamt im Sportverein: Aktives Mitglied und Unterstützer.
• Mediator: Engagement als Mediator beim Konfliktmanagement von Jugend-Ligaspielen.

Zielsetzung
Übernahme eines Unternehmens im Elektrotechnik: Ziel ist es, ein etabliertes Unternehmen in der Elektroanlagenbau-Branche zu übernehmen, um durch die umfangreiche Erfahrung und das bestehende Netzwerk des Bewerbers das Unternehmen weiter zu entwickeln und zu expandieren.

Vision
Durch die Kombination aus technischer Expertise, strategischem Denken und einer kooperativen Führungsphilosophie strebt der Bewerber an, das übernommene Unternehmen zu einem führenden Anbieter in der Branche zu machen, der nicht nur durch technische Innovationen, sondern auch durch exzellenten Kundenservice und nachhaltige Geschäftspraktiken besticht.",Nordrhein-Westfalen / Düsseldorf / Düsseldorf,,,Unknown,Sondermaschinenbau / Hersteller von Montageanlagen und Prüftechnik zu verkaufen.,"Das Unternehmen besteht seit über 20 Jahren. Herstellung von Sondermaschinen, Montageanlagen, Prüftechnik und Prüfanlagen, Roboterzellen, Widerstandsschweißtechnik, andere Schweiß- bzw. Fügeanlagen.","
Basisinformation:
Das Unternehmen aus NRW besteht seit über 20 Jahren in der Rechtsform einer GmbH&Co.KG und ist ein etablierter Hersteller von Sondermaschinen, Montageanlagen und Prüftechnik für Metall- und Kunststoffteile. Es sind etwa 25 Mitarbeitende beschäftigt.

Leistungen: Herstellung von Sondermaschinen, Montageanlagen, Prüftechnik und Prüfanlagen, Roboterzellen, Widerstandsschweißtechnik, andere Schweiß- bzw. Fügeanlagen. Das Unternehmen hat alle wertschöpfenden Abteilungen im Hause: Konstruktion, Steuerungsbau und SPS-Programmierung, Labor für Widerstandsschweißtechnik, Montage- bzw. Inbetriebnahmeabteilung, spanende Fertigung. Es besteht eine Zertifizierung nach DIN EN ISO 9001:2015.

Kundenstruktur:
Der Kundenstamm ist breit diversifiziert im Bereich der Produktionsunternehmen von Investitions- und Konsumgütern - z.B. in den Branchen Industrie, Elektrotechnik, Automotive, Möbel-Metallkomponenten, Medizintechnik.

Nachfolgebedingungen:
Das Unternehmen soll aufgrund einer Altersnachfolge verkauft werden. Angestrebt wird eine gute Nachfolgelösung. Ideal ist als Käufer ein Produktionsunternehmen, welches z.B. den eigenen Betriebsmittelbau stärken möchte oder die Leistungen im Maschinen- und Anlagenbau am Markt ausweiten möchte.
Die Verkäufer sind grundsätzlich bereit, bis zu zwei Jahre eine gute Übergabephase zu unterstützen. Grundsätzlich soll das Unternehmen zu 100% verkauft werden. Absprachen über Teilverkäufe sind aber auch möglich.
Die Vorfinanzierung der Sondermaschinen erfolgt über Gesellschafterdarlehen. Ein Käufer muss über ausreichend Eigenkapital für den Kauf und die Vorfinanzierungen verfügen.
Die Betriebsimmobilie befindet sich im Eigentum der Verkäufer und kann gemietet oder gekauft werden.

Wirtschaftliche Situation:
Das Unternehmen wurde vor über 20 Jahren von 2 Gesellschaftern und mit 2 Angestellten gegründet. Mit stetigen Umsatzsteigerungen Jahr für Jahr werden derzeit etwa 25 Mitarbeitende beschäftigt und ein Umsatz von 3 bis 4 Mio. erzielt.
Seit der Gründung des Unternehmens wurden jedes Jahr positive Betriebsergebnisse erwirtschaftet (Eine Ausnahme bildet das Jahr 2006.).
Das Unternehmen ist solide aufgestellt, hat keine Bankschulden und verfügt über einen sehr guten Bonitätsindex bei der Auskunftei Creditreform.",Nordrhein-Westfalen,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=205503
Bauunternehmen,berlin,Erfahrener Bauprofi sucht etabliertes Bauunternehmen oder Planungsbüro,Suche Einstieg in einen SHK-Betrieb,"Erfahrener Dipl. Ing. Versorgungstechnik, Dipl. Wirt. Ing. sucht einen SHK-Betrieb zur Übernahme.","
Erfahrener Dipl. Ing. Versorgungstechnik, Dipl. Wirt. Ing. mit sehr gutem technischem Verständnis und SHK-Markt Erfahrung sucht einen SHK-Betrieb im Umkreis von maximal 50 km um Arnsberg und bis zu 20 Mitarbeitern zur Übernahme. Gewünscht ist ein geordneter Übergang von zwei bis drei Jahren, um Kunden, Mitarbeiter und Betrieb kennenzulernen. Der Betrieb sollte schon erste Schritte im Bereich Digitalisierung gegangen sein.",Nordrhein-Westfalen / Arnsberg / Märkischer Kreis Nordrhein-Westfalen / Arnsberg / Hochsauerlandkreis,,,Unknown,Sanitär-Heizungsbetrieb sucht Nachfolger,Für einen Installateur- und Heizungsbau-Betrieb im Märkischen Kreis wird ein Nachfolger gesucht.,"
Für einen Installateur- und Heizungsbau-Betrieb im Märkischen Kreis wird ein Nachfolger gesucht. Der Betrieb führt Arbeiten im Sanitär- und Heizungsbereich für Gewerbe- und Wohnungsbau, Industrieanlagen sowie private Einrichtungen aus. Eine komplette Maschinenausstattung ist vorhanden und kann mit dem Fuhrpark und der Büroausstattung übernommen werden.",Nordrhein-Westfalen / Arnsberg / Märkischer Kreis,,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=210634
