date,title,description,location,url,long_description,standort,branchen,mitarbeiter,jahresumsatz,preisvorstellung,international
12.11.2024,Vertriebsprofi im Handel sucht Übernahme eines Mittelstandsbetriebes,Vertriebsprofi im Handel sucht Übernahme eines Mittelstandsbetriebes,Hessen / Gießen / Lahn-Dill-Kreis Hessen / Gießen / Marburg-Biedenkopf,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212510,"
Diplom-Kauffrau und Unternehmerin mit langjähriger Berufs- und Führungserfahrung im Handel und im Verbundgruppenbereich sucht die Übernahme eines Mittelstandsbetriebes. Mehrjährige Erfahrungen als Senior Consultant in der Beratung im Konsumgüterbereich und umfangreiche Kenntnisse im Online- und Versandhandelsgeschäft prägen die Nachfolgeinteressierte. Eine hohe Einsatzbereitschaft, Flexibilität, der Austausch mit den Mitarbeitern und der Wunsch ein bestehendes wirtschaftlich gesundes Unternehmen in die nächste Generation zu führen, stellen Eckpfeiler der Betriebsübernahme für die Generalistin dar. Dabei sind die Regionen Marburg, Gießen und Lahn-Dill in einem Umkreis von 50km interessant. Abhängig von der Branche ist ein durchschnittlicher Umsatz bis 10 Mio Euro wünschenswert sowie bis zu 20 engagierte Mitarbeiter:innen. Eine Betriebsimmobilie kann mit erworben werden, ansonsten auch Übernahme der gemieteten Gewerbefläche. Es sind verschiedene Nachfolgemodelle denkbar z.B. tätige Beteiligung mit der Perspektive der Übernahme oder Mitarbeit als Angestellte. Eine Übernahme kann nach Vereinbarung zeitnah erfolgen.",,Dienstleistung; Baugewerbe; Grundstücks- und Wohnungswesen; Handel; Verarbeitendes Gewerbe,21 - 50 Beschäftigte,"über 2,5 Mio. Euro",Keine Angaben,
12.11.2024,Engagierter & zukunftsorientierter Nachfolger sucht etabliertes Unternehmen,"Ich suche ein Unternehmen zur langfristigen Übernahme. Ich möchte Ihre Firma erfolgreich weiterführen, zukunftssicher gestalten und weiterhin Perspektivsicherheit für die Mitarbeiter liefern.",Sachsen,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212488,"
Sehr geehrter Damen und Herren,
ich bin als engagierte Privatperson auf der Suche nach einem mittelständischen Unternehmen zur erfolgreichen Übernahme in der Region Sachsen.
Aufgewachsen in Sachsen möchte ich nun wieder zurückkehren, Verantwortung übernehmen und mit Gestalten.
Als Dipl.-Ing. der Lebensmitteltechnologie (Schwerpunkt Verfahrenstechnik und Innovation) und zukünftig einen Master-Abschluss in Wirtschaft, Management und IT sehe ich mich als Generalist mit breitem Interesse.
Mit 10 Jahren Industrieerfahrung in Anstellung möchte ich nun meine eigenen Schritte gehen, meine Erfahrungen einbringen und die aktuellen Herausforderungen zusammen mit den Mitarbeitenden meistern.
Das Unternehmen sollte in der Industrie agieren und etabliert sein.
Ich suche eine Nachfolgesituation, die eine entsprechende Einarbeitung und Übergang sicherstellen kann.
Regional bin ich innerhalb Sachsens nicht festgelegt und flexibel.
Ich freue mich auf Ihre Kontaktaufnahme.",Sachsen,,Keine Angaben,Keine Angaben,Keine Angaben,
12.11.2024,Unternehmen für zerstörungsfreie Werkstoffprüfung (ZfP) gesucht,Stufe 3-Prüfer und Schweißfachingenieur sucht ein Unternehmen für die zerstörungsfreie Werkstoffprüfung.,Hessen,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212291,"
Mein Ziel ist es, ein möglichst breit aufgestelltes Unternehmen im Bereich der zerstörungsfreien Werkstoffprüfung zu übernehmen. Die Prüfungen können vor Ort oder in der Werkstatt/Baustelle des Kunden durchgeführt werden. Der Standort des Unternehmens spielt aufgrund der Geschäftstätigkeit und der Marktanforderungen keine große Rolle.",Hessen,,6 - 10 Beschäftigte,Keine Angaben,Keine Angaben,
12.11.2024,"Wirtschaftsingenieur, 41 aus Unternehmerfamilie sucht Unternehmen",Unternehmensnachfolger aus Aachen mit Erfahrung in Maschinen- und Anlagenbau sucht Unternehmensnachfolge oder Beteiligung in der Region.,Nordrhein-Westfalen / Köln / Düren Nordrhein-Westfalen / Köln / Euskirchen Nordrhein-Westfalen / Köln / Heinsberg Nordrhein-Westfalen / Köln / Städteregion Aachen Nordrhein-Westfalen / Köln / Rhein-Erft-Kreis,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212452,"
Ich lebe in Aachen und komme aus einer Unternehmerfamilie. Jetzt, da meine Kinder größer sind und ich viel Erfahrung gesammelt habe, wünsche ich mir den Einstieg in ein eigenes Unternehmen.

Ich suche ein Unternehmen oder auch eine Beteiligung:
-im Maschinenbau, im Anlagenbau oder in verwandten Zulieferindustrien
-möglichst mit mehr als 10 Mitarbeitern und über EUR 1,5 Mio. Jahresumsatz, gerne auch deutlich darüber
-möglichst in der Region Aachen oder gut von dort aus erreichbar

Mein Hintergrund und meine Qualifikationen:
breites technisches Verständnis
langjährige Erfahrung im Anlagenbau, Maschinenbau und in der Zulieferindustrie
Erfahrung in der Mitarbeiterführung, aktuell 30 Mitarbeiter, aufgeteilt auf 3 Bereiche
Kompetenz in Einkauf und Logistik
Fachwissen im Qualitätsmanagement und in der Fertigung
umfangreiche Kenntnisse im Change Management
Erfahrung in der Projektleitung und Unternehmensführung

Ich glaube einen Blick zu haben für den Wert, den Sie und Ihr Team über die Jahre aufgebaut haben, und begegne Ihrem Lebenswerk mit größtem Respekt und Wertschätzung. Mir ist wichtig, die Unternehmenskultur und die bestehenden Strukturen wertschätzend zu übernehmen und weiterzuführen. Dabei sichere ich Ihnen höchste Vertraulichkeit zu und freue mich darauf, in einem persönlichen Austausch mehr über Sie und Ihr Unternehmen zu erfahren. Wenn Sie mein Profil anspricht, nehmen Sie gerne einfach kurz Kontakt zu mir auf, damit wir uns kennenlernen können.",,Verarbeitendes Gewerbe > Herstellung von elektronischen und optischen Erzeugnisse > Elektronische Bauelemente und Leiterplatten; Verarbeitendes Gewerbe > Herstellung von elektronischen und optischen Erzeugnisse > Elektromaschinenbauer; Verarbeitendes Gewerbe > Maschinenbau; Verarbeitendes Gewerbe > Herstellung von elektrischen Ausrüstungen,11 - 20 Beschäftigte,"über 500 Tsd. - 2,5 Mio. Euro","über 500 Tsd. - 2,5 Mio. Euro",
12.11.2024,Junger Nachfolger sucht starken Partner für die Übernahme eines Pflegedienstes,"Ich suche einen Partner, der mich über die nächsten Jahre umfassend einarbeitet, damit ich nach meiner Ausbildung am Universitätsklinikum Leipzig eigenständig einen Pflegedienst führen kann.",Sachsen / Leipzig,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212410,"
Sehr geehrte Interessenten!

Ich suche einen erfahrenen Partner, der sich mit Leidenschaft und tiefgehendem Wissen in der Pflegebranche engagiert und bereit ist, mich über die nächsten 3-4 Jahre intensiv einzuarbeiten. Mein Ziel ist es, nach meiner Ausbildung und weiteren Qualifizierungen das Geschäft eigenständig zu führen und dabei langfristig die Werte und Traditionen des Unternehmens fortzuführen.

Voraussichtlich zum 1. März beginne ich eine Ausbildung am Universitätsklinikum Leipzig, die mir das nötige medizinische Grundwissen vermittelt. Parallel dazu möchte ich durch eine enge Zusammenarbeit umfassende Einblicke in die Führung eines Pflegedienstes gewinnen und Schritt für Schritt auf die Übernahme vorbereitet werden. Zuverlässigkeit, Kontinuität und Loyalität sind Werte, die mir persönlich sehr am Herzen liegen und die ich auch im zukünftigen Arbeitsumfeld fördern und leben möchte.

Wenn Sie auf der Suche nach einem dynamischen, engagierten Nachfolger sind, der die Herausforderungen der Pflegebranche mit Freude und Tatkraft annimmt, freue ich mich auf ein Gespräch. Sehr gerne lasse ich Ihnen bei Interesse meinen vollständigen Lebenslauf zukommen.

Mit besten Grüßen,
Elias Ernst",Sachsen > Leipzig,,Keine Angaben,Keine Angaben,Keine Angaben,
11.11.2024,Solides Vintage/Second-Hand Online-Geschäft mit etablierten Prozessen und Händle,"Suche etablierten Vintage/Second-Hand-Onlineshop (Shopify bevorzugt) mit automatisierter Buchhaltung und Händlernetzwerk. Geringer Warenbestand, optionale Bestandsreduktion vor/nach Übergabe.",Ausland Sachsen-Anhalt Baden-Württemberg Nordrhein-Westfalen Bremen Hamburg Mecklenburg-Vorpommern Bayern Sachsen Schleswig-Holstein Rheinland-Pfalz Thüringen Berlin Niedersachsen Saarland Hessen,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212432,"
Ich suche ein etabliertes Vintage/Second-Hand-Online-Geschäft, das vorzugsweise auf Shopify basiert und über ein solides Grundgerüst für eine reibungslose Übergabe verfügt. Ziel ist es, eine gut organisierte Unternehmensstruktur mit vorhandenen Automatisierungsprozessen, insbesondere in der Buchhaltung, und einem bestehenden Netzwerk an Händlerkontakten zu übernehmen. Idealerweise handelt es sich um ein Unternehmen mit geringem bis moderatem Warenbestand, der im Rahmen eines ""Inventory Buydown"" (geordneter Bestandsabbau) reduziert werden kann.

Gesuchtes Geschäftsmodell und Anforderungen:

Unternehmensart: Vintage- oder Second-Hand-Online-Shop (vorzugsweise Shopify)
Prozesse: Bereits vorhandene Automatisierungen, insbesondere in der Buchhaltung und Warenwirtschaft
Händlernetzwerk: Bestehende und gepflegte Kontakte zu relevanten Händlern und Lieferanten
Warenbestand: Gering bis moderat; optionaler Bestandsabbau im Zuge der Übergabe
Marktpositionierung: Etabliertes oder wachsendes Geschäft mit erkennbarer Nische im Bereich Vintage/Second-Hand-Produkte

Besondere Anforderungen und Herausforderungen:

Technische Plattform: Vorzugsweise Shopify oder ein anderes etabliertes E-Commerce-System
Automatisierte Prozesse: Buchhaltung und Warenwirtschaft sollten gut dokumentiert und automatisiert sein, um eine nahtlose Übernahme zu ermöglichen.
Option für Bestandsabbau: Bestände sollten vor oder nach Übergabe im Rahmen eines vertraglich geregelten ""Inventory Buydown"" abgebaut werden können.
Übernahme und Übergabeprozess:

Wann: Die Übernahme kann kurzfristig oder nach Absprache erfolgen

Wie: Wir streben einen reibungslosen Übergabeprozess mit vollständiger Dokumentation und schrittweiser Einführung in die betrieblichen Abläufe an.
Region: Primär im deutschsprachigen Raum (DACH), jedoch auch offen für interessante internationale Angebote.

Interessenten:
Unternehmer oder Unternehmen, die ein strukturiertes Vintage/Second-Hand-Geschäft abgeben möchten und eine langfristige Übernahme durch erfahrene Hände anstreben.

Ich freue mich auf Ihr Angebot und weitere Informationen zum Unternehmen.",,,Keine Angaben,Keine Angaben,Keine Angaben,Ja
11.11.2024,Unternehmen gesucht - Betriebswirt / Vertriebsleiter sucht,Ich Betriebswirt (40 Jahre) und erfolgreicher Vertriebsleiter suche im Rahmen einer Unternehmensnachfolge ein Unternehmen in der Nähe von 89331 (+/-50km).,Bayern / Schwaben / Günzburg,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212176,"
Ich suche ein Unternehmen im Rahmen einer Unternehmensnachfolge. Ich bin Betriebswirt und habe über 20 Jahre Erfahrung im Verkauf, Vertrieb und Marketing. Ich bin handwerklich begabt und kann mich in Prozesse reindenken.
Ich bin für alle Angebote offen und bin flexibel, wichtig ist für mich nur dass das Unternehmen auch eine Zukunft hat. Ob Handwerk, Handel, Vertrieb, Verkauf usw. ist nicht so wichtig für mich.
Gerne nehme ich Unterstützung bei der Einarbeitung an. Ihr Unternehmen wird bei mir sicherlich in guten Händen sein.
Aktuell befinde ich mich in einer ungekündigten Festeinstellung als Vertriebsleiter in einem großen Unternehmen und viel Verantwortung.
Ich habe erfolgreich in folgenden Bereichen gearbeitet: Medical Devices, Handel, Laborgeräte und Ausstattung, Dienstleistungen, Medizinprodukte, KFZ-Bereich und Industriebedarf.
Ich freue mich sehr über Ihre Nachricht.",Bayern > Schwaben > Günzburg,,Keine Angaben,Keine Angaben,Keine Angaben,
11.11.2024,Erfahrenes Führungsteam sucht etabliertes Unternehmen zur Übernahme in NRW,"Führungsteam mit 20+ Jahren Erfahrung in verschiedenen Branchen und solider techn.-wirtschaftl. Ausbildung sucht wirtschaftlich stabiles Unternehmen im Handwerk, Handel oder Dienstleistung.",Nordrhein-Westfalen,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212454,"
Wir sind ein eingespieltes Führungsteam mit über 20 Jahren Berufserfahrung in verschiedenen Branchen und einer soliden technischen sowie wirtschaftlichen Ausbildung. Neben Handwerks- und Meisterqualifikationen verfügen wir beide über einen akademischen Masterabschluss und vereinen umfassendes Fachwissen mit strategischem Unternehmergeist.

Unser Schwerpunkt liegt in technisch geprägten Branchen, insbesondere in Bereichen des Handwerks und der Industrie sowie in Beratungs- und Dienstleistungsfeldern rund um Produktion und Digitalisierung.

Wir bringen langjährige Führungserfahrung mit – von kleinen Projektteams bis zu Teams mit über 100 Mitarbeitenden. Ob in Projekten oder im Alltag, wir haben Teams fachlich und organisatorisch geleitet und dabei viel über erfolgreiche Teamführung gelernt. Uns liegt besonders am Herzen, dass alle im Unternehmen den Wandel mitgestalten. Denn wir sind überzeugt: Wenn alle an einem Strang ziehen, bleibt das Unternehmen zukunftssicher, und die Arbeitsplätze am Standort Deutschland werden gesichert.

Über die Jahre haben wir uns nicht nur im Handwerk bewährt, sondern auch viel Erfahrung in der Beratung gesammelt. Durch Weiterbildungen und den direkten Austausch mit unseren Kunden konnten wir unser Wissen ständig erweitern. Die Digitalisierung liegt uns besonders am Herzen, da sie nicht nur in Großunternehmen immer wichtiger wird, sondern auch im klassischen Handwerk Einzug halten sollte.

Wir möchten die etablierte Basis und das wertvolle Wissen eines bestehenden Betriebs wertschätzen und gezielt weiterentwickeln. Mit frischen Ideen, leidenschaftlicher Motivation und einem kreativen Ansatz wollen wir das Unternehmen nachhaltig stärken und neues Wachstum ermöglichen.

Wenn Sie daran interessiert sind, Ihr Unternehmen in erfahrene und engagierte Hände zu übergeben, freuen wir uns darauf, von Ihnen zu hören!",Nordrhein-Westfalen,"Dienstleistung; Land- und Forstwirtschaft, Fischerei; Information und Kommunikation; Gastgewerbe; Handwerk; Handel; Verarbeitendes Gewerbe",Keine Angaben,"über 500 Tsd. - 2,5 Mio. Euro",Keine Angaben,
11.11.2024,WEG-Verwaltung/ Hausverwaltung zur Übernahme gesucht (Kreis Esslingen+Göppingen),Für die Erweiterung/Wachstum der bereits erfolgreich am Markt tätigen Hausverwaltung wird die Übernahme von weiteren WEG-Verwaltungen/ WEG-Beständen im Kreis Esslingen und Göppingen angeboten.,Baden-Württemberg / Stuttgart / Esslingen Baden-Württemberg / Stuttgart / Stuttgart Baden-Württemberg / Stuttgart / Göppingen,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212428,"
Wir bieten eine kompetente, zuverlässige und engagierte Hausverwaltung/ WEG-Verwaltung im Kreis Esslingen und Göppingen an.

Für die Erweiterung des Unternehmens sind wir auf der Suche nach weiteren Objekten für die Übernahme der WEG-Verwaltung in den Landkreisen Esslingen und Göppingen.
Übernommen werden auch Bestände von kleineren und mittelgroßen Hausverwaltungen.

Wenn Sie Ihre Hausverwaltung (oder Teilbestände) abgeben wollen freuen wir uns auf Ihre Kontaktaufnahme.

Eine Übernahme wäre nach Absprache (auch kurzfristig) möglich.",,,Keine Angaben,Keine Angaben,Keine Angaben,
11.11.2024,Etablierte Spedition oder Fuhrunternehmen zum Kauf gesucht,Wir suchen für das weitere Wachstum eine etablierte Spedition/ Fuhrunternehmen zum Kauf.,Mecklenburg-Vorpommern Brandenburg Sachsen-Anhalt Sachsen Berlin / Berlin / Berlin,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=206809,"
Wir führen als Bestandshalter erfolgreiche Unternehmen im Sinne des Verkäufers
bzw. im Rahmen der Unternehmensnachfolge langfristig fort.
Vorzugsweise im Radius 50 KM um Berlin.
Diskretion wird zugesichert.",,,Keine Angaben,"über 500 Tsd. - 2,5 Mio. Euro",Keine Angaben,
08.11.2024,Erfahrener Bauprofi sucht etabliertes Bauunternehmen oder Planungsbüro,Engagierter Profi mit 23 Jahren Erfahrung sucht ein solides Bauunternehmen oder Planungsbüro zur Unternehmensnachfolge und Übernahme.,Berlin,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211541,"
Ich bin ein erfahrener Kaufmann (43 Jahre) mit umfassender Expertise im SF GU/GÜ Bauwesen/Projektentwicklung/Immobilien und Finanzen.
Mein beruflicher Werdegang umfasst:
-10 Jahre Bankwesen
-13 Jahre SF GU/GÜ Bauwesen/Projektentwicklung/Immobilien als
Leiter Einkauf, Stellvertretender Niederlassungsleiter, Leiter Immobilien, Leiter Finanzen, Kaufmännischer Leiter und Generalbevollmächtigter, CFO und GF
und habe einen Bilanzbuchhalter und Bilanzbuchhaltung International Abschluss

Ich bin auf der Suche nach einem etablierten Bauunternehmen oder Planungsbüro zur Übernahme, das folgende Kriterien erfüllt:
Tätigkeitsbereich: Hoch- und Tiefbau, Schlüsselfertiges Bauen, oder Architektur- und Ingenieurdienstleistungen
Unternehmensgröße: min 10-50 Mitarbeiter
Umsatz: min 2,5 Mio. € jährlich
Standort: Vorzugsweise Berlin, aber auch andere Regionen werden in Betracht gezogen
Gesunde finanzielle Basis und stabiler Kundenstamm
Potenzial für Wachstum und Modernisierung

Meine Stärken
Fundiertes kaufmännisches und gutes technisches Know-how im gesamten Bauprozess
Ausgeprägte Führungsqualitäten und Erfahrung im Personalmanagement
Starke betriebswirtschaftliche Kompetenz
Innovatives Mindset für die Digitalisierung der Baubranche
Solide finanzielle Basis für eine reibungslose Übernahm

Was ich biete
Finanzielle Stabilität: gesicherte Übernahme
Fachliche Kompetenz: Umfassendes Know-how in allen Bereichen des Bauwesens
Führungsstärke: Bewährte Fähigkeiten in der Mitarbeiterführung und -motivation
Innovationskraft: Ideen und Strategien zur Zukunftssicherung des Unternehmens
Kontinuität: Langfristiges Engagement und Weiterführung des Lebenswerks

Wenn Sie ein etabliertes Bauunternehmen oder Planungsbüro besitzen und eine verantwortungsvolle Nachfolgelösung suchen, würde ich mich freuen, mit Ihnen in Kontakt zu treten. Ich bin überzeugt, dass meine Erfahrung, mein Engagement und meine Vision die ideale Basis für eine erfolgreiche Fortführung Ihres Lebenswerks bieten.
Lassen Sie uns gemeinsam die Zukunft Ihres Unternehmens gestalten. Ich freue mich auf ein persönliches Gespräch.",Berlin,,Keine Angaben,"über 2,5 Mio. Euro",Keine Angaben,
08.11.2024,Junger & verantwortungsbewusster Leistungssportler möchte Nachfolger werden,Nach 12 Jahren Leistungssport suche ich nach einem Handwerks- oder Reinigungsbetrieb mit Wachstumspotenzial im norddeutschen Raum. Ich möchte Nachfolger und Unternehmer werden.,Schleswig-Holstein / Schleswig-Holstein / Kiel,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=211978,"
Sehr geehrte Damen und Herren,
Nach 12 Jahren im Olympischen Segelsport und drei Olympiateilnahmen suche ich nach einer neuen ""Mission"", in die ich all meine Energie stecken kann.
Mit demnächst zwei kleinen Kindern sind 200 Tage im Ausland einfach zu viel, sodass ich nach einem Betrieb suche, der in Kiel, Schleswig-Holstein oder Norddeutschland etabliert ist und nach einem Nachfolger in der Geschäftsleitung sucht.
Ich möchte Unternehmer werden, Verantwortung übernehmen und gemeinsam mit Mitarbeitern eine erfolgreiche Zukunft für Ihren Betrieb gestalten, am liebsten für einige Monate nach Übergabe an Ihrer Seite, um noch möglichst viel zu lernen.
Als Leistungssportler kann ich mir die Inhalte und Details von Gewerken schnell aneignen und konsequent daran arbeiten, Potenziale zu erkennen, Prozesse zu verbessern und die Effizienz zu steigern.
Meine Stärken liegen im Bereich Menschenführung und -begeisterung, Vertrieb, Netzwerken und Projektmanagement (Organisation).

Neben meiner sportlichen Karriere investiere ich in und arbeite seit 2017 mit Immobilien und Verwaltungen und bin IHK-zertifizierter Immobilienverwalter.
Dank diesem zweiten Standbein kenne ich die Branche und weiß, wie man Immobilien und Grundstücke pflegt und bewirtschaftet.
Ich suche nach einem Betrieb, der idealerweise den Fokus auf Hausmeisterservice, Gebäudereinigung und Grünpflege legt und 5 - 100 Mitarbeiter beschäftigt, mit einem Umsatz zwischen 500.000€ und 5.000.000€. Auch Betriebe aus anderen Bereichen des Handwerks sind für mich interessant.

Wenn Sie nach einem Nachfolger suchen, der neue Energie und Ideen in Ihren Betrieb bringt, die Mitarbeiter mitreißt und Ihr Lebenswerk weiterführt, freue ich mich über Ihre Kontaktaufnahme und die Vorstellung Ihres Anliegens. Wenn ich nicht telefonisch erreichbar bin, können Sie mir gerne eine formlose Email mit Rückrufbitte oder weiteren Infos zuschicken und ich melde mich spätestens 24h später zurück.
Mit freundlichen Grüßen
Paul Kohlhoff",Schleswig-Holstein > Schleswig-Holstein > Kiel,Baugewerbe; Grundstücks- und Wohnungswesen; Handwerk; Dienstleistung > Sonstige Dienstleistungen > Gebäudebetreuung; Garten- und Landschaftsbau,Keine Angaben,Keine Angaben,Keine Angaben,
07.11.2024,Die Ambrock GmbH sucht Malerbetriebe zur Übernahme,"Die Ambrock GmbH mit Hauptsitz in Hagen und 10 weiteren Standorten und über 400 Mitarbeitern ist stetig am wachsen und sucht in Düsseldorf, Mannheim und Stuttgart Möglichkeiten zur Expansion.",Nordrhein-Westfalen / Düsseldorf / Düsseldorf Baden-Württemberg / Stuttgart / Stuttgart,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212423,"
Wer wir sind? Ein mittelständisches Malerunternehmen an insgesamt elf Standortenin Deutschland und über 400 Mitarbeitern. Kerngeschäfte sind Malerarbeiten, Korrosionsschutz, Beschichtung, Wärmedämmung, Betoninstandsetzung undIndustrieböden. Erfahrung in Übernahme von Malerbetrieben ist vorhanden.
Was suchen wir? Einen klassischen Malerbetrieb (2 bis 10 Angestellte) mit einembestehenden und zukunftsorientierten Kundenstamm. Wir sind ebenfalls bereit, diebestehende Infrastruktur (Halle, Büroflächen, Fuhrpark, Maschinen etc. ) vor Ort zu übernehmen.",,,6 - 10 Beschäftigte,Keine Angaben,Keine Angaben,
07.11.2024,Metallbaubetrieb | Osnabrück und Umgebung,"Geprüfter Betriebswirt, erfahrener Handwerksmeister im Metallbau und zertifizierter Schweißfachmann sucht Metallbaubetrieb zur Übernahme.","Niedersachsen / Weser-Ems / Osnabrück, Landkreis Niedersachsen / Weser-Ems / Osnabrück, Stadt",https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212413,"
Geprüfter Betriebswirt, erfahrener Handwerksmeister im Metallbau und zertifizierter Schweißfachmann sucht Metallbaubetrieb zur Übernahme. Idealerweise erfolgt der Einstieg zunächst als Angestellter, mit der Möglichkeit einer späteren Übernahme des Betriebes. Wenn Sie an einer Übergabe Ihres Metallbaubetriebes interessiert sind oder Unterstützung für eine zukünftige Nachfolge suchen, freue ich mich über Ihre Kontaktaufnahme.",,,Keine Angaben,Keine Angaben,Keine Angaben,
06.11.2024,Etablierte Sprachschule im Raum Berlin gesucht,"Sprachschule im Raum Berlin gesucht! Fokussiert auf Integrations- und Berufssprachkurse (BAMF), Prüfungszentrum Telc und g.a.s.t. Vorhandenes Qualitätsmanagement erforderlich.",Berlin,https://www.nexxt-change.org/DE/Kaufgesuch/Detailseite/detailseite_jsp.html?adId=212396,"
Etablierte Sprachschule im Raum Berlin zum Kauf
Wir sind auf der Suche nach einer etablierten Sprachschule im Raum Berlin, die zum Verkauf steht. Idealerweise bieten die Schulen Integrations- und Berufssprachkurse an und besitzen die BAMF-Zulassung. Besonders wichtig ist uns, dass die Schule als Prüfungszentrum für Telc und g.a.s.t. anerkannt ist.
Lage und Verkehrsverbindungen:
Die Schule sollte in einer gut erreichbaren Lage mit optimalen Verkehrsverbindungen sein, vorzugsweise in der Nähe von U-Bahn- oder S-Bahn-Stationen sowie Bushaltestellen. Eine zentrale Lage würde es uns ermöglichen, sowohl Schüler als auch Firmenkunden effektiv zu gewinnen.
Kundschaft:
Wir suchen eine Sprachschule mit einer stabilen und diversifizierten Kundschaft. Ein bestehendes Netzwerk und gute Beziehungen zu Unternehmen, die regelmäßig Sprachkurse für ihre Mitarbeiter anbieten, wären besonders vorteilhaft.
Kursangebot:
Das Kursangebot der Sprachschule sollte attraktiv sein und vor allem Integrations- und Berufssprachkurse umfassen. Zudem ist ein bereits etabliertes Qualitätsmanagementsystem (QM) wünschenswert.
Wir freuen uns auf Ihre Angebote!
Bitte kontaktieren Sie uns, wenn Sie eine passende Sprachschule zum Verkauf anbieten oder weitere Informationen haben. Wir sind sehr daran interessiert, mehr über die Details der Schule, einschließlich finanzieller Aspekte, Ausstattung und bestehender Verträge, zu erfahren.
Vielen Dank für Ihr Interesse und Ihre Unterstützung!",Berlin,,Keine Angaben,Keine Angaben,Keine Angaben,
