date,title,description,location,url,long_description,standort,branchen,mitarbeiter,jahresumsatz,preisvorstellung,international
08.11.2024,"Gasthausbrauere, Biergarten, moderner Innengastronomie und Gebäude zu verkaufen","Gasthausbrauerei(Microbrewing) moderne Innengastronomie mit Biergarten, Gebäude und Freifläche in Mittelfranken, Landkreis Ansbach aus privaten Gründen zu verkaufen.","Bayern / Mittelfranken / Ansbach, Landkreis",https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=207721,"
Schöner Biergarten (bis zu 180 Plätze) und sehr schöne Innengastronomie(90 Plätze) mit etablierter moderne Gasthausbrauerei 2hl Sudhaus in gut frequentierter Lage mit Radweganbindung im Landkreis Ansbach.


Das Objekt liegt im schönen Mittelfranken, zentral in bester Ausflugsgegend und mit sehr guter Verkehrsanbindung sowohl mit dem Rad als auch für KFZ.
Bestens erschlossenes Wegenetz und die zentrale Objektlage, garantieren immer genügend Gäste.
Auch außerhalb der Biergartensaison eine lukrative Gastronomie für Jung und Alt.
Zum Verkauf stehen die komplette laufende Gastronomie inkl. Immobilie Grundstück und Inventar, sowie aller Rechte und Marken der Brauerei und des Vertrieb.
Das laufende Geschäft und das wenige Personal das sie für den Betrieb benötigen, kann nahtlos übernommen werden.
Für Gründer und Neueinsteiger gibt es ausführliche Hilfestellung und Einarbeitung.
Parkflächen und Campingstellflächen sind vorhanden.
Erweiterungspotential ist ebenfalls genügend vorhanden.","Bayern > Mittelfranken > Ansbach, Landkreis",,bis 5 Beschäftigte,über 250 - 500 Tsd. Euro,"über 500 Tsd. - 2,5 Mio. Euro",Nein
08.11.2024,SaaS-Plattform im Automotive Bereich,Das Unternehmen agiert als etablierter Anbieter im Bereich Software-as-a-Service (SaaS) mit einem spezialisierten Fokus auf die Automotive Markt,Schleswig-Holstein / Schleswig-Holstein,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=212380,"
Mit einer beachtlichen Expertise in der Entwicklung und Bereitstellung von maßgeschneiderten Softwarelösungen unterstützt es Leasinggesellschaften, Autohändler, Logistiker und Dienstleister bei der Digitalisierung und Effizienzsteigerung ihrer Prozesse. Die Stärke des Unternehmens liegt in seiner Fähigkeit, hochkomplexe Anforderungen in benutzerfreundliche Anwendungen zu transformieren, wobei kontinuierliche Innovation und Kundenorientierung als Schlüsselfaktoren für seinen Erfolg gelten.

Das Unternehmen bietet eine Palette an fortschrittlichen SaaS-Lösungen, die speziell darauf ausgerichtet sind, die komplexen Herausforderungen der Auslieferung von Fahrzeugen über alle betroffenen Gruppen zu meistern. YOMA hat sich zum Ziel gesetzt, die Drehscheibe und „Eventgeber“ für Prozesse und Informationen aus der Delivery Chain von Neufahrzeugen in Europa sein.",Schleswig-Holstein > Schleswig-Holstein,,6 - 10 Beschäftigte,"über 500 Tsd. - 2,5 Mio. Euro",Nicht veröffentlicht,Nein
08.11.2024,"Nachfolge / Teilhaber für mittelständisches, familiengeführtes Tiefbauunternehmen","Teilhaber bzw. Käufer für wirtschaftlich erfolgreiches Familienunternehmen im Bereich Erd-, Tief- und Straßenbau gesucht.",Baden-Württemberg / Karlsruhe / Heidelberg,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=212447,"
Wir sind ein mittelständisches Familienunternehmen im Raum Heidelberg mit ca. 50 Mitarbeitern und einem modernen Fuhrpark.

Seit mehr als 70 Jahren realisieren wir für unsere privaten, gewerblichen und öffentlichen Auftraggeber Projekte im Erd- und Tiefbau sowie im Straßen- und Kanalbau.

Ebenso erledigen wir die Erschließungsmaßnahmen für Wohn- und Gewerbegebiete und die Planung von Außenanlagen.

Wir verfügen über einen festen Kundenstamm bei Kommunen und gewerblichen Auftraggebern. Unsere Kunden schätzen uns als ehrlichen und zuverlässigen Partner.

Aus Altersgründen suchen wir eine Nachfolge. Hier sind wir für alle Möglichkeiten offen.

Ob sofort Verkauf oder Teilhaberschaft mit späterer Übernahme. Momentaner Standort kann übernommen werden.

Qualifiziertes Fachpersonal mit Einsatzbereitschaft vorhanden.",Baden-Württemberg > Karlsruhe > Heidelberg,,21 - 50 Beschäftigte,"über 2,5 Mio. Euro",Nicht veröffentlicht,Nein
08.11.2024,PREMIUM-DESTILLERIE,"Wir suchen eine Nachfolge für unsere vielfach prämierte Brennerei in Berlin mit exklusivem Produktportfolio, darunter Gin, Brände und Liköre.",Berlin / Berlin / Berlin,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=212427,"
Wir suchen eine Nachfolge für unsere vielfach prämierte Brennerei in Berlin mit exklusivem Produktportfolio, darunter Gin, Brände und Liköre.

Die Grundlagen unseres Erfolgs sind überdurchschnittliche Produktqualität, Nachhaltigkeit, Innovation, handwerkliches Können und wissenschaftliche Fundierung.

Weitere Highlights des Unternehmens:

- Produktion auf neuestem Stand der Technik
- außergewöhnliche Produktionsräume mit Showroom, auch als Eventfläche nutzbar
- eigene separate Einzelhandelsfläche in zentraler Lage und eigener Onlineshop
- umfangreiche Rezepturdatenbank und Herstelldokumentation
- schriftlich dokumentierte Prozessbeschreibungen für Produktion und Verwaltung
- bereits vorbereitete Skalierungsmöglichkeiten, die direkt umgesetzt werden können
- fachlich hervorragendes Personal
- exklusiver sehr gehobener deutschlandweiter Kundenstamm (B2B und B2C)
- keine Abhängigkeit von einzelnen Lieferanten oder Kunden

Das Personal kann übernommen werden, somit ist sowohl ein Quereinstieg als auch ein Finanzinvestor denkbar.

Die Abgabe erfolgt rein aus gesundheitlichen Gründen und gerne zum nächstmöglichen Zeitpunkt.",Berlin > Berlin > Berlin,,bis 5 Beschäftigte,über 250 - 500 Tsd. Euro,"über 500 Tsd. - 2,5 Mio. Euro",Nein
08.11.2024,"Startup Speziallösung für Wallbox-, Elektro,- und Photovoltaikinstallationen","Das Unternehmen bietet eine Kombination von Photovoltaik-, E-Ladestationen, Smart-Home-Erweiterungen und Elektroinstallationslösungen im „Do-it-yourself“-Segment an.",Nordrhein-Westfalen,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=212446,"
Das Unternehmen bietet eine Kombination von Photovoltaik-, E-Ladestationen, Smart-Home-Erweiterungen und Elektroinstallationslösungen im „Do-it-yourself“-Segment an, die in ihrer Art einzigartig ist und die Installation von Photovoltaik- und Elektroinstallationen vereinfacht, beschleunigt und eine zusätzliche Möglichkeit bietet, preissensible Kunden zu gewinnen.

Neben der Installationslösung bietet das Startup eine speziell für gewerbliche Kunden entwickelte Software (SaaS) für die Projektplanung sowie allgemeine Dienstleistungen für die Installationsplanung an – damit werden Elektroinstallateure kapazitätsmäßig entlastet und können sich nur den Themen widmen, die ein optimales Kosten-Nutzen-Verhältnis aufweisen.

Umsatz 2024 Plan: 800.000 EUR
Voraussichtlicher Gewinn: 70.00 - 100.000 EUR
Gründung: 2023",Nordrhein-Westfalen,Handwerk > Ausbaugewerbe > Elektrotechniker; Grundstücks- und Wohnungswesen,6 - 10 Beschäftigte,"über 500 Tsd. - 2,5 Mio. Euro",Nicht veröffentlicht,Nein
08.11.2024,Erfolgreich etablierter Beherbergungsbetrieb in Top-Lage,Wir bieten Ihnen eine außergewöhnliche Gelegenheit zum Erwerb eines Share Deals für einen erfolgreich geführten Beherbergungsbetrieb mit exzellenten Gewinnmargen im Herzen Berlins.,Berlin / Berlin / Berlin,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=209913,"
Das Unternehmen ist in der Beherbergungsbranche tätig und hat sich seit seiner Gründung im Jahr 2007 einen festen Platz im Markt erarbeitet. Es bietet in einer zentralen Lage in Berlin Friedrichshain eine attraktive Investitionsmöglichkeit. Der Eigentümer möchte sich einer anderen Tätigkeit widmen. Die GmbH steht ab November 2024 zum Verkauf.

5 Mitarbeiter
35 Betten
14 Gästezimmer
1 Gemeinschaftsküche
1 Gemeinschaftsduschen
1 Empfangsraum
1 HWR
7 Toiletten

Größe 357 m2
Baujahr 1990
Sanierung Duschraum 2023 komplett

Moderne und geschmackvolle Einrichtung
Optimal auf die Bedürfnisse von Gästen abgestimmt
Guter Zustand der Räumlichkeiten, kein Sanierungsrückstand
Hohe Gästezufriedenheit und starke Buchungslage
Exzellente Gewinnmargen durch niedrige Mietkosten
Langfristiger Mietvertrag sichert stabile Einnahmen
Jährliche Mietanpassung von 3 Prozent bietet Schutz vor Inflation
Garantierte Gewinnausschüttung bei Übernahme des laufenden Betriebs

Diese Immobilie bietet eine seltene Gelegenheit für Investoren und Betreiber, die von der dynamischen Entwicklung des Bezirks Friedrichshain profitieren möchten. Der bestehende Mietvertrag mit den äußerst günstigen Konditionen stellt sicher, dass Sie auch langfristig von hervorragenden Gewinnmargen profitieren.",Berlin > Berlin > Berlin,,bis 5 Beschäftigte,über 250 - 500 Tsd. Euro,"über 500 Tsd. - 2,5 Mio. Euro",Nein
08.11.2024,Weinhandel für die Gastronomie,"Weinhandel B2B (Lieferdienst) inkl. Kundenstamm, Warenbestand, B2C-Webshop und Marke. Grund: Auswanderung. Perfekte Chance für den Einstieg in den Wein-Lieferdienstmarkt.",Berlin / Berlin / Berlin,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=212438,"
Die etablierte Weinhandlung in Berlin steht ab sofort zum Verkauf, mit einer möglichen Übernahme ab 01.01.2025. Als spezialisierter B2B-Lieferdienst bietet sie eine breite Auswahl europäischer Weine und verfügt über einen stabilen Kundenstamm sowie zuverlässige Lieferantenbeziehungen. Gesucht wird ein Käufer mit Branchenkenntnissen oder ein motivierter Quereinsteiger. Die Übergabe kann flexibel gestaltet werden, inklusive Einarbeitungszeit. Diese Gelegenheit erlaubt es dem Käufer, ein gut vernetztes Unternehmen zu übernehmen und weiter auszubauen. Ideal für alle, die eine solide Basis und Wachstumspotenzial im Weinhandel suchen.",Berlin > Berlin > Berlin,,Nicht veröffentlicht,über 50 - 250 Tsd. Euro,bis 50 Tsd. Euro,Nein
08.11.2024,Online-Versandhandel für hochwertige Stoffe und Nähzubehör zu verkaufen,"25 Jahre Versandhandel für Modeateliers + Endkunden Umsatz: 280.000€ Lagerware: 120.000€ Anzahl Mitarbeiter: 3 in Teilzeit Preisvorstellung: 180.000€ (inkl. Lager, Kundenstamm, Software)",Nordrhein-Westfalen / Köln / Städteregion Aachen,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=212375,"
Der rote Faden ist ein gut etabliertes Versandhandels-Unternehmen, das Modeateliers und anspruchsvoll nähende Endkunden seit 25 Jahren online bedient. Die hohe Trusted Shops-Bewertung zeigt, dass die Kunden unsere Qualität von Waren und Service zu schätzen wissen.
Aus Altersgründen möchte ich als Inhaberin kürzer treten und würde gern einen Nachfolger einarbeiten, der gewillt ist, das Unternehmen zu übernehmen.

Der rote Faden bietet Ihnen:
- ein breites Sortiment an hochwertigen Standard-Stoffen im Bereich Walkloden, Viskose-Jersey, Bio-Baumwoll-Jersey, Spitze, Leinen, Wolle, Seide und mehr, dazu gibt es Farbkarten, die Ateliers und Endkunden gern bestellen
- Sortimentsergänzung mit hochwertigen Nähgarnen und Reißverschlüssen, mit Schulterpolstern und Einlagen, die für und mit Ateliers speziell entwickelt wurden, dazu professionelle Bügelböcke und mehr.
- ein neu aufgestellter Shopware 6 Online-Shop, einem der führenden professionellen Shopsysteme sowie Anbindung an ein flexibles Warenwirtschaftssystem, das wir seit vielen Jahren erfolgreich nutzen.
- gehobener Kundenstamm: Modeateliers in Deutschland, Österreich und der Schweiz und Endkundinnen, die Qualität zu einem fairen Preis zu schätzen wissen
- ein Netzwerk zu Probenäherinnen, die aus unseren Stoffen Musterkleidungsstücke nähen und Tragefotos zur Verwendung in unseren Social Media Kanälen zur Verfügung stellen.
- Einbringung und Neuentwicklung von Schnittmustern passend zu den Stoffen, sei es zum Download oder kostenfrei
- Hohes Ansehen für Zuverlässigkeit und schnelle Lieferung die sich in unserer Trusted shops Bewertung widerspiegelt

Kennzahlen:
Umsatz: 270.000-280.000 €
Lagerware im Wert von 120.000€ Einkaufspreis
Anzahl Mitarbeiter: 3
Preisvorstellung: VB 180.000 € (inkl. Lagerware, Kundenstamm und Shopsystem mit eingerichteter Schnittstelle zwischen ERP und Shop)
Haben wir Ihr Interesse geweckt? Bitte fragen Sie unter der Chiffre-Nr einen Besprechnungstermin an.",Nordrhein-Westfalen > Köln > Städteregion Aachen,,bis 5 Beschäftigte,über 50 - 250 Tsd. Euro,über 50 - 250 Tsd. Euro,Ja
08.11.2024,Alteingesessener Sanitär- und Heizungsbaubetrieb in Oberhausen sucht Nachfolger/in,Unser seit über 50 Jahren bestehender Familienbetrieb in Oberhausen-Osterfeld steht aus Altersgründen zur Übernahme bereit.,Nordrhein-Westfalen / Düsseldorf / Oberhausen,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=212442,"
Unser seit über 50 Jahren bestehender Familienbetrieb in Oberhausen-Osterfeld steht aus Altersgründen zur Übernahme bereit. Der Betrieb ist in der Rechtsform einer GmbH geführt und verfügt über einen langjährigen, treuen Kundenstamm. Zurzeit sind noch zwei Auszubildende im Unternehmen beschäftigt.

Die Räumlichkeiten umfassen ca. 50 m² Bürofläche, ca. 25 m² Lager sowie vier Garagen und Stellplätze und können bei Bedarf weiterhin angemietet werden. Das Unternehmen bietet attraktives Entwicklungspotenzial für eine/n Sanitär- und Heizungsbaumeister/in. Eine umfassende Einarbeitung kann auf Wunsch sichergestellt werden.

Wir freuen uns auf Ihre Kontaktaufnahme und darauf, unseren Betrieb in gute Hände zu übergeben!",Nordrhein-Westfalen > Düsseldorf > Oberhausen,,bis 5 Beschäftigte,über 250 - 500 Tsd. Euro,Nicht veröffentlicht,
08.11.2024,Kfz-Werkstatt ohne Markenvertrag voll ausgestattet zur Übernahme aus Altersgründen,"Sehr gute Lage und Einzugsgebiet, seit 26 Jahren am Markt mit Top-Bewertungen",Schleswig-Holstein / Schleswig-Holstein / Stormarn,https://www.nexxt-change.org/DE/Verkaufsangebot/Detailseite/detailseite_jsp.html?adId=212439,"
Kleiner persönlicher Restaurationsbetrieb bzw. Kfz-Werkstatt. Die Werkstatt ist vollausgestattet auf 400 Quadratmetern inklusive zwei Büroräumen, Technikraum, Küche, Umkleide und Lager.

Der Betrieb ist in der US-Car-Szene sehr bekannt. Jedoch bleibt das Weiterführen des Betriebes oder eine Spezialisierung auf eine Marke dem Erwerber offen. Eine umfassende Ausstattung wie Werkzeuge, Messgeräte, vier Hebebühnen etc. ist vorhanden und VHS.

Zum sofortigen Verkaufen oder zur schrittweisen Übernahme mit Einarbeitung - vieles wäre möglich.",Schleswig-Holstein > Schleswig-Holstein > Stormarn,,Nicht veröffentlicht,über 50 - 250 Tsd. Euro,über 50 - 250 Tsd. Euro,
