2024-11-13 01:04:41,581 - INFO - Files loaded successfully.
2024-11-13 01:04:41,582 - INFO - NaN values in 'purchase_df' handled by filling empty strings.
2024-11-13 01:04:41,583 - INFO - NaN values in 'sales_df' handled by filling empty strings.
2024-11-13 01:04:41,585 - INFO - Date columns converted to datetime.
2024-11-13 01:04:41,880 - INFO - Vectorization completed successfully.
2024-11-13 01:04:44,588 - INFO - Number of high-quality matches found: 0
2024-11-13 01:04:44,629 - INFO - Matches exported successfully to 'dejuna_high_quality_matches.xlsx'
2024-11-13 01:05:03,428 - INFO - Files loaded successfully.
2024-11-13 01:05:03,429 - INFO - NaN values in 'purchase_df' handled by filling empty strings.
2024-11-13 01:05:03,430 - INFO - NaN values in 'sales_df' handled by filling empty strings.
2024-11-13 01:05:03,433 - INFO - Date columns converted to datetime.
2024-11-13 01:05:03,725 - INFO - Vectorization completed successfully.
2024-11-13 01:05:03,786 - INFO - Invalid match due to date: Purchase Date 2024-09-22 00:00:00, Sale Date 2024-10-16 00:00:00
2024-11-13 01:05:03,790 - INFO - Invalid match due to date: Purchase Date 2024-09-22 00:00:00, Sale Date 2024-09-30 00:00:00
2024-11-13 01:05:03,790 - INFO - Invalid match due to date: Purchase Date 2024-09-22 00:00:00, Sale Date 2024-09-30 00:00:00
2024-11-13 01:05:03,791 - INFO - Invalid match due to date: Purchase Date 2024-09-22 00:00:00, Sale Date 2024-09-23 00:00:00
2024-11-13 01:05:03,920 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-11-07 00:00:00
2024-11-13 01:05:03,921 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-11-05 00:00:00
2024-11-13 01:05:03,922 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-10-31 00:00:00
2024-11-13 01:05:03,929 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-10-02 00:00:00
2024-11-13 01:05:03,932 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-18 00:00:00
2024-11-13 01:05:03,937 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-20 00:00:00
2024-11-13 01:05:03,942 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-25 00:00:00
2024-11-13 01:05:03,945 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-15 00:00:00
2024-11-13 01:05:03,950 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-06-14 00:00:00
2024-11-13 01:05:03,955 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-05-07 00:00:00
2024-11-13 01:05:03,964 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-03-06 00:00:00
2024-11-13 01:05:03,967 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-02-21 00:00:00
2024-11-13 01:05:04,004 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-04-17 00:00:00
2024-11-13 01:05:04,006 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-04-09 00:00:00
2024-11-13 01:05:04,096 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-04-16 00:00:00
2024-11-13 01:05:04,112 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-10-08 00:00:00
2024-11-13 01:05:04,154 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-10-29 00:00:00
2024-11-13 01:05:04,155 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-10-28 00:00:00
2024-11-13 01:05:04,155 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-10-28 00:00:00
2024-11-13 01:05:04,158 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-10-15 00:00:00
2024-11-13 01:05:04,158 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-10-14 00:00:00
2024-11-13 01:05:04,158 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-10-14 00:00:00
2024-11-13 01:05:04,159 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-10-10 00:00:00
2024-11-13 01:05:04,160 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-10-07 00:00:00
2024-11-13 01:05:04,160 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-10-02 00:00:00
2024-11-13 01:05:04,161 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-30 00:00:00
2024-11-13 01:05:04,163 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-19 00:00:00
2024-11-13 01:05:04,164 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-17 00:00:00
2024-11-13 01:05:04,165 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-12 00:00:00
2024-11-13 01:05:04,165 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-09 00:00:00
2024-11-13 01:05:04,165 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-09-09 00:00:00
2024-11-13 01:05:04,167 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-30 00:00:00
2024-11-13 01:05:04,167 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-29 00:00:00
2024-11-13 01:05:04,168 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-26 00:00:00
2024-11-13 01:05:04,170 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-15 00:00:00
2024-11-13 01:05:04,171 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-14 00:00:00
2024-11-13 01:05:04,171 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-12 00:00:00
2024-11-13 01:05:04,171 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-12 00:00:00
2024-11-13 01:05:04,172 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-08 00:00:00
2024-11-13 01:05:04,172 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-07 00:00:00
2024-11-13 01:05:04,173 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-08-02 00:00:00
2024-11-13 01:05:04,174 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-29 00:00:00
2024-11-13 01:05:04,175 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-25 00:00:00
2024-11-13 01:05:04,176 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-19 00:00:00
2024-11-13 01:05:04,176 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-11-11 00:00:00
2024-11-13 01:05:04,177 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-17 00:00:00
2024-11-13 01:05:04,177 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-15 00:00:00
2024-11-13 01:05:04,179 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-07-05 00:00:00
2024-11-13 01:05:04,180 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-06-28 00:00:00
2024-11-13 01:05:04,180 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-06-26 00:00:00
2024-11-13 01:05:04,182 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-06-19 00:00:00
2024-11-13 01:05:04,182 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-06-17 00:00:00
2024-11-13 01:05:04,183 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-06-14 00:00:00
2024-11-13 01:05:04,183 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-06-12 00:00:00
2024-11-13 01:05:04,184 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-06-06 00:00:00
2024-11-13 01:05:04,186 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-05-17 00:00:00
2024-11-13 01:05:04,188 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-05-06 00:00:00
2024-11-13 01:05:04,189 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-04-30 00:00:00
2024-11-13 01:05:04,190 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-04-23 00:00:00
2024-11-13 01:05:04,192 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-04-10 00:00:00
2024-11-13 01:05:04,193 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-04-04 00:00:00
2024-11-13 01:05:04,195 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-03-22 00:00:00
2024-11-13 01:05:04,195 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-03-21 00:00:00
2024-11-13 01:05:04,195 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-03-19 00:00:00
2024-11-13 01:05:04,196 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-03-13 00:00:00
2024-11-13 01:05:04,197 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-03-11 00:00:00
2024-11-13 01:05:04,197 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-03-08 00:00:00
2024-11-13 01:05:04,198 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-03-04 00:00:00
2024-11-13 01:05:04,200 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-11-07 00:00:00
2024-11-13 01:05:04,200 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-11-07 00:00:00
2024-11-13 01:05:04,200 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-11-06 00:00:00
2024-11-13 01:05:04,200 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-11-06 00:00:00
2024-11-13 01:05:04,201 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-11-05 00:00:00
2024-11-13 01:05:04,201 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-11-04 00:00:00
2024-11-13 01:05:04,202 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-10-31 00:00:00
2024-11-13 01:05:04,202 - INFO - Invalid match due to date: Purchase Date NaT, Sale Date 2024-10-31 00:00:00
